capture_artist_project_title,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
ANNA TERNHEIM - ALL THE WAY TO RIO,234,136,91,55,49,43,19,20,15,10,14,12
THE DEVIL WEARS PRADA - TRANSIT BLUES,4797,444,331,206,136,127,117,102,121,100,86,73
GOLD - GOLD,5,3,3,2,3,2,2,1,4,1,3,2
SEVENDUST - ALL I SEE IS WAR,11715,1244,789,502,394,295,381,289,285,318,415,157
KREATOR - EXTREME AGGRESSION,17,78,31,29,36,28,37,18,24,26,31,24
KREATOR - CAUSE FOR CONFLICT,32,12,6,5,7,3,4,4,2,4,4,3
CHRIS REA - ROAD SONGS FOR LOVERS,1411,1844,460,471,110,94,88,52,50,56,45,49
"EMERSON, LAKE & PALMER - IN THE HOT SEAT",29,34,17,16,11,9,7,6,11,2,5,8
THE WATERBOYS - OUT OF ALL THIS BLUE,1135,292,121,97,64,59,64,59,65,30,25,28
REJJIE SNOW - DEAR ANNIE,446,219,113,54,58,41,29,31,26,21,20,17
JOHN FOGERTY - EYE OF THE ZOMBIE,1,7,18,9,14,18,17,18,15,17,8,10
THE BEAT - SPECIAL BEAT SERVICE,1,3,4,1,7,3,1,6,4,5,6,4
CELTIC FROST - TO MEGA THERION,56,67,55,40,93,48,37,32,32,40,32,21
LINA - EGO,987,491,278,225,288,225,225,191,204,179,89,76
"EMERSON, LAKE & PALMER - THE ANTHOLOGY",51,159,50,35,27,284,50,34,22,30,29,22
DUSTIN KENSRUE - THOUGHTS THAT FLOAT ON A DIFFERENT BLOOD,8,15,13,16,14,11,26,13,6,12,5,9
MIKE LOVE - UNLEASH THE LOVE,204,84,21,25,16,9,16,24,15,15,8,6
MAYDAY PARADE - SUNNYLAND,3654,547,350,223,337,211,143,101,104,80,64,55
THEO LAWRENCE & THE HEARTS - HOMEMADE LEMONADE,205,176,72,55,38,47,22,20,22,17,7,13
MADEINTYO - TRUE'S WORLD,1151,422,103,52,65,51,47,26,22,14,30,16
RSO - MAKING HISTORY,931,224,159,70,51,31,12,13,6,6,3,4
CLARE BOWEN - CLARE BOWEN,238,179,24,19,347,802,109,39,39,22,17,106
RSO - RADIO FREE AMERICA,442,90,78,48,26,29,24,20,22,15,20,12
KONTRA K - GUTE NACHT,9145,5597,2190,1246,1099,870,725,670,1111,635,475,494
"JENNIFER WARNES - ANOTHER TIME, ANOTHER PLACE",193,148,66,37,29,34,16,22,12,20,15,27
INDIA.ARIE - SONGVERSATION: MEDICINE,311,1413,553,429,375,346,340,356,355,301,223,170
EARL - TONGUE TIED,451,244,97,43,45,51,54,63,54,71,84,69
GARY NUMAN - SAVAGE (SONGS FROM A BROKEN WORLD),4724,1696,722,869,431,651,750,289,246,215,220,194
RICHARD CLAYDERMAN - MOVIE FAVOURITES,23,48,37,26,35,18,20,25,23,20,28,17
DANCE GAVIN DANCE - ARTIFICIAL SELECTION,6871,664,369,252,176,278,243,209,165,263,274,104
CHAPEL - SUNDAY BRUNCH,184,159,52,39,28,11,27,14,8,18,21,2
FINDLAY - FORGOTTEN PLEASURES,66,15,11,4,13,4,8,10,4,6,10,5
KYLIE MINOGUE - GOLDEN,25935,2864,1994,1436,863,2324,905,1154,592,268,177,172
WATERS - SOMETHING MORE!,304,105,33,13,9,9,14,11,8,11,4,5
URIAH HEEP - YOUR TURN TO REMEMBER: THE DEFINITIVE ANTHOLOGY 1970 – 1990,84,20,26,24,16,22,15,24,19,12,12,13
"SONDASCHULE - SCHERE, STEIN, PAPIER",762,168,114,76,63,23,45,66,26,31,32,42
NICKELBACK - FEED THE MACHINE,43076,10521,5855,4412,2144,1780,2250,1610,1173,1278,1019,1132
WHITE LIES - FRIENDS,1323,178,142,130,136,85,77,51,52,43,40,41
TONY BANKS & THE CZECH NATIONAL SYMPHONY ORCHESTRA & CHOIR & NICK INGMAN - FIVE,172,95,20,24,12,9,7,7,11,4,2,10
MADNESS - FULL HOUSE - THE VERY BEST OF MADNESS,549,260,187,105,142,118,189,172,164,149,80,87
BENJAMIN FRANCIS LEFTWICH - AFTER THE RAIN,13,13,12,9,6,8,12,9,5,18,11,10
IDK - IWASVERYBAD,561,50,61,42,33,25,25,17,23,33,8,7
"EMERSON, LAKE & PALMER - WORKS VOLUME 2",196,47,33,18,14,11,18,23,19,17,13,9
FRANK IERO AND THE PATIENCE - PARACHUTES,1430,319,273,157,152,100,148,105,98,70,66,51
VARIOUS ARTISTS - SALSOUL: THE CLUB REMIXES,120,45,29,18,15,18,26,19,17,17,15,11
CRAIG CAMPBELL - SEE YOU TRY,368,159,126,109,73,46,48,40,45,78,44,32
MIKE + THE MECHANICS - LET ME FLY,4643,816,999,526,517,301,209,111,106,93,122,101
THE SHERLOCKS - LIVE FOR THE MOMENT,50,13,7,12,3,7,11,2,16,15,4,3
KREATOR - OUTCAST,36,25,9,8,5,10,6,5,9,5,7,5
MIKE + THE MECHANICS - WORD OF MOUTH,5,15,18,22,9,9,11,10,9,8,6,4
BILLY CORGAN - OGILALA,3067,726,392,198,164,79,96,55,48,43,76,53
OF MICE & MEN - DEFY,7490,1471,865,642,546,357,331,261,204,212,178,144
JACK SAVORETTI - SLEEP NO MORE,66,40,40,38,17,55,50,24,16,38,22,18
CANE HILL - TOO FAR GONE,947,195,128,188,92,70,66,57,50,32,38,51
SUPER FURRY ANIMALS - THE BEST OF,152,59,21,16,16,10,13,6,16,13,10,13
BLACK SABBATH - THE TEN YEAR WAR,15,50,42,46,28,38,29,43,32,23,35,24
T.S.O.L - THE TRIGGER COMPLEX,170,115,31,20,8,11,19,12,3,3,6,11
THE HOLD STEADY - BOYS AND GIRLS IN AMERICAN,56,13,3,8,1,6,7,2,2,3,4,1
HOT WATER MUSIC - LIVE AT THE HARDBACK,28,17,3,5,5,4,7,4,5,6,1,7
VARIOUS ARTISTS - READY STEADY GO - THE SIXTIES,224,41,12,12,37,9,13,7,11,14,12,10
ERIC BENET - ERIC BENET,24,19,15,17,11,10,10,5,6,11,6,7
BLESSTHEFALL - HARD FEELINGS,2899,725,308,212,163,141,127,125,78,59,67,67
TALOS - WILD ALEE,2,18,19,19,20,16,65,23,16,15,37,28
JON SECADA - TO BENY MORE' WITH LOVE,85,10,4,9,3,3,1,2,12,5,3,2
THE RAVEN AGE - DARKNESS WILL RISE,831,182,132,132,70,68,45,54,35,40,24,18
URIAH HEEP - SALISBURY,107,97,68,48,55,60,79,59,57,39,49,56
LINDSAY ELL - THE PROJECT,345,340,312,225,236,204,315,161,90,83,74,56
DEREK SMALLS - SMALLS CHANGE (MEDITATIONS UPON AGEING),162,42,40,20,14,8,5,11,6,2,3,5
INDIA.ARIE - SONGVERSATION,4,53,51,57,48,46,62,65,41,53,38,30
DALEY - THE SPECTRUM,1681,469,220,256,125,69,51,92,54,28,26,24
DANCE GAVIN DANCE - MOTHERSHIP,8694,930,819,565,429,706,483,335,460,453,329,246
BLONDIE - POLLINATOR,6977,927,987,575,620,258,502,350,130,97,107,65
"VARIOUS ARTISTS - THE DR. PACKER SALSOUL REWORKS, VOL. 2",43,88,49,32,18,22,16,7,17,21,16,12
LP - LOST ON YOU REMIXED EP,6,62,31,11,12,10,14,11,9,17,14,8
VARIOUS ARTISTS - EXTEND THE 80S - HITS,9,9,12,10,7,4,5,6,4,6,2,7
MICHAEL MCDONALD - LIVE ON SOUNDSTAGE,101,38,34,21,21,15,12,6,8,8,7,3
SONDASCHULE - SCHöN KAPUTT LIVE RECORDS,16,12,6,10,4,1,3,6,2,1,7,9
VARIOUS ARTISTS - EXTEND THE 80S - GROOVE,34,22,24,18,9,16,15,19,21,12,26,20
KUBLAI KHAN - NOMAD,556,418,112,122,91,73,88,67,44,53,79,60
"EMERSON, LAKE & PALMER - TRILOGY",84,91,91,362,161,122,122,111,138,141,117,155
FEEDER - THE BEST OF,332,410,58,58,54,43,115,26,30,32,34,31
PARMALEE - 27861,135,161,87,68,81,67,83,65,86,57,65,35
MIKE + THE MECHANICS - THE SINGLES 1985 - 2014,18,107,196,206,137,147,161,103,83,103,96,61
DUSTIN KENSRUE - MORE THOUGHTS THAT FLOAT ON A DIFFERENT BLOOD,250,65,49,33,17,25,12,12,21,19,17,15
MAYER HAWTHORNE - MAN ABOUT TOWN,33,47,48,41,28,22,21,20,16,22,29,19
DAVE HAUSE - BURY ME IN PHILLY,1730,236,119,76,59,88,54,50,44,48,44,46
THE CROSSRHODES - FOOTPRINTS ON THE MOON,302,135,74,10,11,39,34,16,7,2,7,11
FIRE FROM THE GODS - NARRATIVE,1072,1495,649,441,505,384,382,384,339,309,85,117
RICHARD CLAYDERMAN - THE ABBA COLLECTION,16,22,13,11,17,9,9,13,11,12,24,22
HANSON - FINALLY IT’S CHRISTMAS,3762,4076,4865,52,13,15,12,3,8,10,13,15
THE CRANBERRIES - SOMETHING ELSE,3933,3878,586,445,319,217,222,187,170,6938,615,433
VARIOUS ARTISTS - EXTEND THE 80S - CLUB,9,11,11,5,9,5,4,7,3,6,9,4
MIDGE URE - ORCHESTRATED,1743,828,221,314,65,43,90,36,35,30,28,21
MIKE + THE MECHANICS - LIVING YEARS,6,13,27,25,17,16,10,19,19,16,14,18
DUSTIN LYNCH - CURRENT MOOD,19982,2731,2808,1114,948,733,1390,902,615,985,453,456
RICHARD CLAYDERMAN - THE ANDREW LLOYD WEBBER COLLECTION,10,13,8,4,14,7,8,7,2,9,5,6
ERASURE - SINGLES - EBX4,64,34,4,13,11,13,3,8,4,9,13,9
311 - MOSAIC,9994,2872,971,462,383,211,412,267,169,190,183,124
FINBAR FUREY - DON'T STOP THIS NOW,7,14,6,3,2,2,3,1,3,3,3,3
ASH - ISLANDS,121,30,13,8,8,7,2,7,4,2,4,4
FATBOY SLIM - FATBOY SLIM VS. AUSTRALIA,325,64,16,8,9,5,6,13,5,7,6,3
CARL PALMER'S ELP LEGACY - LIVE,55,31,18,11,14,6,3,3,3,3,5,1
FERGIE - DOUBLE DUTCHESS,410,209,158,85,46,48,42,40,31,35,42,20
THE KINKS - THE KINK KONTROVERSY,92,54,14,20,14,22,12,16,20,12,13,11
CAMO & KROOKED - MOSAIK,926,358,183,144,121,77,108,80,52,271,136,85
CARNAGE - BATTERED BRUISED & BLOODY,413,68,29,15,11,6,2,4,7,5,4,5
RICHARD CLAYDERMAN - 50 WEDDING FAVOURITES,16,61,44,31,33,52,45,32,36,28,29,33
GALACTIC EMPIRE - GALACTIC EMPIRE,3887,356,303,254,211,211,194,122,96,99,271,226
ALBERT HAMMOND - IN SYMPHONY,303,288,60,24,27,31,78,19,18,17,11,5
GOLD - LE BEST OF,22,289,99,156,57,88,113,138,173,143,150,116
RICHARD CLAYDERMAN - BRAZILIAN FAVOURITES,16,8,5,12,1,10,6,5,2,6,4,4
GOLDFINGER - THE KNIFE,1806,580,236,142,89,95,76,111,74,85,94,70
BLACK SABBATH - THE ULTIMATE COLLECTION,347,590,256,401,400,154,61,39,45,46,45,46
MONO - FORMICA BLUES,12,18,10,16,25,22,16,15,17,18,12,15
VARIOUS ARTISTS - WEST END EDITS: MEDLAR,46,24,12,16,9,6,2,7,2,4,5,4
AMII STEWART - KNOCK ON WOOD: THE ANTHOLOGY,4,10,10,9,5,8,8,3,6,4,8,8
VARIOUS ARTISTS - THIS IS TROJAN SKA,5,7,5,3,11,3,15,4,9,7,1,1
MIKE + THE MECHANICS - THE ROAD,4,12,33,69,24,18,20,21,14,13,10,10
VARIOUS ARTISTS - THIS IS TROJAN ROCK STEADY,9,13,8,10,7,4,8,6,10,9,3,11
POHLMANN - WEGGEFäHRTEN,406,254,183,40,52,34,19,16,15,56,16,11
"EMERSON, LAKE & PALMER - BLACK MOON",37,28,13,14,21,17,12,9,9,17,12,11
"EMERSON, LAKE & PALMER - BRAIN SALAD SURGERY",36,85,116,527,194,119,177,153,156,128,173,180
RACQUET CLUB - RACQUET CLUB,158,105,25,21,23,18,6,12,4,7,18,11
VALLEYHEART - NOWADAYS,77,23,8,8,8,10,5,8,4,2,2,4
LE SOLDAT ROSE - LE SOLDAT ROSE,1,39,21,24,16,23,7,17,33,34,14,31
GRANGER SMITH - WHEN THE GOOD GUYS WIN,7137,3300,1077,765,594,530,404,271,541,416,383,254
VARIOUS ARTISTS - THE HIT FACTORY ULTIMATE COLLECTION,1103,277,93,44,36,46,35,19,28,39,30,33
FISCHER-Z - BUILDING BRIDGES,69,124,52,38,25,21,16,42,12,12,5,9
VARIOUS ARTISTS - TREASURE ISLE SKA RARITIES,9,8,6,2,5,2,4,4,1,1,2,1
KEN HENSLEY - RARE AND TIMELESS,37,36,15,6,5,10,8,8,2,3,3,3
VARIOUS ARTISTS - EXTEND THE 80S - POP,28,26,15,13,13,7,16,9,11,6,11,6
LE SOLDAT ROSE - LE SOLDAT ROSE à LA FABRIQUE DE JOUETS,134,227,52,37,16,9,6,6,12,18,5,5
DMA'S - FOR NOW,156,80,26,21,22,7,10,11,12,11,11,9
SKINDRED - UNION BLACK,2,5,11,6,7,15,21,13,4,17,9,5
KATIE MELUA - IN WINTER,5558,2337,5490,924,674,266,132,98,76,98,72,73
VARIOUS ARTISTS - NWOBHM,5,9,8,6,7,10,5,4,2,7,3,4
DHANI HARRISON - IN///PARALLEL,1196,187,83,55,30,26,14,14,16,22,16,14
KREATOR - TERRIBLE CERTAINTY,14,54,21,24,10,14,8,14,18,13,14,6
HANNI & NANNI - MEHR ALS BESTE FREUNDE (OFFICIAL SOUNDTRACK),48,225,163,50,21,34,39,34,37,19,24,18
"THE KINKS - LOLA VERSUS POWERMAN AND THE MONEYGOROUND, PT. 1",148,86,19,20,17,21,18,17,21,20,13,15
JASON ALDEAN - REARVIEW TOWN,56535,11188,7386,5350,4087,3207,2295,2100,1946,1634,1499,1453
THOUSAND BELOW - THE LOVE YOU LET TOO CLOSE,1197,127,82,109,70,73,103,49,42,48,53,62
GODSMACK - WHEN LEGENDS RISE,20250,11764,4442,3842,3505,2199,1702,1980,2185,2244,1096,2193
SUICIDE - SUICIDE,40,31,55,57,47,35,48,44,48,28,27,33
"PVRIS - ALL WE KNOW OF HEAVEN, ALL WE NEED OF HELL",11727,2344,1194,721,642,511,410,367,421,256,210,182
RIFF RAFF - PEACH PANTHER,1146,337,204,126,88,98,123,77,52,57,45,43
URIAH HEEP - THE MAGICIAN'S BIRTHDAY,123,128,63,71,62,56,57,55,56,43,60,68
CHASE RICE - LAMBS & LIONS,10011,2025,1025,561,399,344,360,252,362,370,206,170
LE SOLDAT ROSE - LE SOLDAT ROSE 2,9,17,11,16,10,11,5,8,17,13,11,16
PETER DOHERTY - HAMBURG DEMONSTRATIONS,2669,365,258,120,81,56,43,55,35,27,27,28
VARIOUS ARTISTS - STRICTLY BALLROOM,1,11,7,5,8,7,13,3,5,10,9,8
THE KINKS - PERCY,55,24,3,4,4,3,4,3,1,6,8,2
RICHARD CLAYDERMAN - ITALIAN FAVOURITES,4,15,15,9,10,12,10,17,14,12,9,16
BOB MARLEY & THE WAILERS - THE LEGEND LIVE - SANTA BARBARA COUNTY BOWL: NOVEMBER 25TH 1979,17,726,133,82,67,61,215,34,34,26,12,24
"EMERSON, LAKE & PALMER - WELCOME BACK MY FRIENDS, TO THE SHOW THAT NEVER ENDS - LADIES AND GENTLEMEN",42,40,35,162,58,38,55,54,50,58,53,60
MORRISSEY - LOW IN HIGH SCHOOL,9893,1382,617,507,355,300,210,151,104,65,68,61
PRAYERS - BAPTISM OF THIEVES,184,94,41,58,76,38,44,33,18,25,16,21
AT THE DRIVE-IN - IN•TER A•LI•A,7117,677,305,244,202,190,190,154,127,136,126,79
VARIOUS ARTISTS - EXTEND THE 80S - ELECTRO,31,34,17,15,19,9,10,5,8,6,8,6
FRANCESCO GABBANI - MAGELLAN,746,197,162,126,91,51,23,22,32,11,14,12
RICHARD CLAYDERMAN - AT HOME WITH RICHARD CLAYDERMAN,8,21,14,15,20,17,11,11,8,9,8,10
VARIOUS ARTISTS - THIS IS TROJAN REGGAE,4,1,2,5,3,3,6,1,4,4,5,1
KEN HENSLEY - EAGER TO PLEASE,5,6,4,2,3,11,3,3,6,2,3,2
THE ACACIA STRAIN - GRAVEBLOOM,1482,1015,201,122,71,61,56,61,40,52,54,32
THE FLATLINERS - INVITING LIGHT,727,97,71,47,42,55,37,29,41,32,21,24
VARIOUS ARTISTS - DIMITRI FROM PARIS PRESENTS SALSOUL MASTERMIX,692,135,54,76,34,26,33,23,39,35,41,41
THE FARM - GROOVY TRAIN: THE VERY BEST OF THE FARM,2,5,5,12,20,11,12,9,8,7,9,5
JOHN FOGERTY - DEJA VU (ALL OVER AGAIN),1,4,8,5,9,5,10,12,11,7,7,4
"EMERSON, LAKE & PALMER - WELCOME BACK MY FRIENDS TO THE SHOW THAT NEVER ENDS - LADIES AND GENTLEMEN",118,117,33,81,36,24,19,21,15,12,13,19
HOT WATER MUSIC - LIVE IN CHICAGO,78,37,14,11,26,17,14,27,14,6,2,11
PLAY69 - BABYLON,1111,100,59,33,20,18,13,7,7,7,4,8
"VARIOUS ARTISTS - LEE PERRY & THE UPSETTERS: THE TROJAN ALBUMS COLLECTION, 1971 TO 1973",6,10,10,8,5,8,5,4,6,4,5,4
REJJIE SNOW - THE MOON & YOU,39,29,18,16,20,11,14,10,21,17,12,22
PETULA CLARK - FROM NOW ON,288,185,52,27,13,13,8,6,10,9,5,7
STEVEN C. & CHRIS INGHAM & STEVE QUINZI - FINEST PIANO TUNES - ESSENTIAL POP CLASSICS,2,2,1,5,7,14,4,8,4,12,5,5
HINDER - THE REIGN,1548,269,278,295,123,106,113,84,50,67,51,38
PARMALEE - PARTY PACK,197,75,45,40,17,10,8,6,6,6,3,6
FIRE FROM THE GODS - NARRATIVE RETOLD,597,230,206,126,130,124,84,96,121,201,211,138
JOHN FOGERTY - CENTERFIELD – 25TH ANNIVERSARY,3,78,130,134,186,159,133,164,144,136,113,119
"EMERSON, LAKE & PALMER - LOVE BEACH",80,33,22,19,13,11,10,17,10,8,9,10
VARIOUS ARTISTS - LEVI ROOTS PRESENTS REGGAE REGGAE HITS,1202,843,162,65,59,63,63,44,65,55,81,38
HINDER - WHEN THE SMOKE CLEARS,30,69,78,79,48,22,31,22,28,26,24,25
GALACTIC EMPIRE - EPISODE II,937,97,70,56,50,35,34,35,32,22,22,28
NOVA TWINS - THELMA AND LOUISE EP,4,18,9,6,2,17,33,2,3,8,4,2
SHENANDOAH - RELOADED,227,47,24,24,37,33,13,15,13,19,9,15
VARIOUS ARTISTS - SKA & REGGAE CLASSICS,401,253,147,104,63,47,44,48,55,64,59,37
BLACK REBEL MOTORCYCLE CLUB - WRONG CREATURES,2774,465,202,186,129,72,63,46,37,36,63,46
THE KINKS - ARTHUR OR THE DECLINE AND FALL OF THE BRITISH EMPIRE,175,79,13,20,12,16,14,18,17,16,18,21
GRYPHON - GRYPHON,5,6,9,12,5,7,4,5,4,10,4,3
RICHARD CLAYDERMAN - STAGE MUSICAL FAVOURITES,8,22,16,7,3,4,1,2,2,2,6,5
MAKE THEM SUFFER - WORLDS APART,1217,563,130,102,85,72,67,55,112,72,64,41
A PERFECT CIRCLE - EAT THE ELEPHANT,47517,7624,3072,1667,1377,1020,1093,1582,1305,1128,580,1069
COLIN MACLEOD - BLOODLINES,14,1,7,5,2,26,5,3,4,2,1,1
PALISADES - MIND GAMES,48,53,51,53,46,34,30,31,24,16,33,31
