capture_artist_project_title,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
THE DEVIL WEARS PRADA - TRANSIT BLUES,28687.7320614,2678.766243,2040.314044,1294.503094,845.920075,787.511455,722.031352,623.780606,702.209214,567.503181,487.390923,412.0610928
ANNA TERNHEIM - ALL THE WAY TO RIO,1004.336764,604.304096,397.788934,246.9547822,214.921293,188.269476,86.341364,89.973302,69.109752,43.87224,60.535455,53.51192
GOLD - GOLD,19.3,11.7,11.944446,7.7,11.4,4.505526,7.06,3.9,15.3,3.8,11.6,7.67943
"EMERSON, LAKE & PALMER - THE ANTHOLOGY",530.995822,1947.057863,701.875142,469.340715,348.056053,4005.082129,706.946323,479.060463,281.378684,411.245463,341.220876,300.847293
DUSTIN KENSRUE - THOUGHTS THAT FLOAT ON A DIFFERENT BLOOD,44.658509,81.482892,72.839258,95.863152,82.694701,60.10844,146.9016,73.083542,34.92279,72.662856,27.458914,54.497142
KREATOR - EXTREME AGGRESSION,82.504005,529.672001,162.71971,162.3469641,183.585087,132.65867,176.478189,89.842971,112.271349,121.18262,158.681406,126.652918
SEVENDUST - ALL I SEE IS WAR,67506.8374676,7378.89261825,4691.95812328,2950.60425,2300.772064,1753.807803,2292.33811,1731.503869,1699.501408,1913.625835,2040.21217614,928.6308
KREATOR - CAUSE FOR CONFLICT,165.429726,66.538604,30.884082,21.867561,44.33174816,18.792867,28.03475,12.810192,7.767366,21.087162,26.890405,19.837422
THE WATERBOYS - OUT OF ALL THIS BLUE,7953.474482,2032.305954,833.084102,670.2908156,430.259277,328.127476,436.495202,409.001584,439.371816,209.790287,165.14669,179.284407
CHRIS REA - ROAD SONGS FOR LOVERS,7479.98374707,10020.487203,2403.337972,2562.92746,601.672003,470.548959758,459.230995,277.495725,259.908593,293.783636,243.651868,242.6007332
"EMERSON, LAKE & PALMER - IN THE HOT SEAT",188.986934,266.739347,106.239112,118.715048,77.611162,48.759996,37.16389,39.41186,65.25832,15.630266,36.60732,52.04633
